workload,variant,threads,n,elapsed_time_s,cpu_time_s,top_hotspot_fn,top_hotspot_pct,second_hotspot_fn,second_hotspot_pct,physical_core_util_pct,filename
fir,openmp,4,134217728,3.921,14.31,fir_parallel._omp_fn.0,99.7,_IO_fread,0.1,6.5,fir_openmp_t4_n134217728_summary.txt
fir,openmp,4,16777216,0.647,1.83,fir_parallel._omp_fn.0,98.3,func@0x1fc70,1.1,5.3,fir_openmp_t4_n16777216_summary.txt
fir,openmp,4,2097152,0.233,0.24,fir_parallel._omp_fn.0,100.0,,,2.7,fir_openmp_t4_n2097152_summary.txt
fir,openmp,4,268435456,7.666,28.6,fir_parallel._omp_fn.0,99.8,func@0x1fc70,0.1,6.6,fir_openmp_t4_n268435456_summary.txt
fir,openmp,4,33554432,1.093,3.55,fir_parallel._omp_fn.0,99.1,func@0x1fc70,0.6,5.9,fir_openmp_t4_n33554432_summary.txt
fir,openmp,4,4194304,0.288,0.48,fir_parallel._omp_fn.0,97.9,func@0x1e860,2.1,3.5,fir_openmp_t4_n4194304_summary.txt
fir,openmp,4,536870912,15.568,57.75,fir_parallel._omp_fn.0,99.9,func@0x1fe10,0.0,6.5,fir_openmp_t4_n536870912_summary.txt
fir,openmp,4,67108864,2.038,7.16,fir_parallel._omp_fn.0,99.4,func@0x1fc70,0.4,6.3,fir_openmp_t4_n67108864_summary.txt
fir,openmp,4,8388608,0.414,0.92,fir_parallel._omp_fn.0,97.7,_IO_fread,1.2,4.3,fir_openmp_t4_n8388608_summary.txt
fir,openmp,8,1048576,0.199,0.16,fir_parallel._omp_fn.0,100.0,,,2.7,fir_openmp_t8_n1048576_summary.txt
fir,openmp,8,134217728,2.15,14.35,fir_parallel._omp_fn.0,99.5,func@0x1fe10,0.3,11.9,fir_openmp_t8_n134217728_summary.txt
fir,openmp,8,16777216,0.423,1.85,fir_parallel._omp_fn.0,99.4,_IO_fread,0.6,8.3,fir_openmp_t8_n16777216_summary.txt
fir,openmp,8,2097152,0.209,0.27,fir_parallel._omp_fn.0,92.6,func@0x1fc70,7.4,3.4,fir_openmp_t8_n2097152_summary.txt
fir,openmp,8,268435456,4.088,28.65,fir_parallel._omp_fn.0,99.7,func@0x1fe10,0.1,12.5,fir_openmp_t8_n268435456_summary.txt
fir,openmp,8,33554432,0.672,3.65,fir_parallel._omp_fn.0,98.6,func@0x1fc70,1.1,10.0,fir_openmp_t8_n33554432_summary.txt
fir,openmp,8,4194304,0.247,0.48,fir_parallel._omp_fn.0,100.0,,,4.4,fir_openmp_t8_n4194304_summary.txt
fir,openmp,8,536870912,8.347,57.82,fir_parallel._omp_fn.0,99.8,func@0x1fc70,0.1,12.1,fir_openmp_t8_n536870912_summary.txt
fir,openmp,8,67108864,1.152,7.21,fir_parallel._omp_fn.0,99.2,func@0x1fe10,0.4,11.2,fir_openmp_t8_n67108864_summary.txt
fir,openmp,8,8388608,0.295,0.97,fir_parallel._omp_fn.0,97.8,_IO_fread,1.2,6.5,fir_openmp_t8_n8388608_summary.txt
fir,pthreads,16,1048576,0.185,0.15,fir_thread,100.0,,,3.4,fir_pthreads_t16_n1048576_summary.txt
fir,pthreads,16,134217728,1.392,16.81,fir_thread,99.9,_IO_fread,0.1,21.5,fir_pthreads_t16_n134217728_summary.txt
fir,pthreads,16,16777216,0.331,2.17,fir_thread,99.5,_IO_fread,0.5,12.4,fir_pthreads_t16_n16777216_summary.txt
fir,pthreads,16,2097152,0.193,0.3,fir_thread,100.0,,,4.5,fir_pthreads_t16_n2097152_summary.txt
fir,pthreads,16,268435456,2.567,33.0,fir_thread,99.9,_IO_fread,0.0,22.8,fir_pthreads_t16_n268435456_summary.txt
